time,rc_on,rc_w,rc_to,mode,batt_w,batt_a,soc,grid_w,health,pwr_sw,axle
2026-09-07T16:37:28,on,1500,5,35,737,14.0,79,-3,Healthy,On,upcoming
2026-09-07T16:37:43,on,1500,5,35,774,14.7,79,48,Healthy,On,upcoming
2026-09-07T16:37:59,on,1500,5,35,721,13.7,79,-39,Healthy,On,upcoming
2026-09-07T16:38:13,on,1500,5,35,721,13.7,79,-13,Healthy,On,upcoming
2026-09-07T16:38:28,on,1500,5,35,785,14.9,79,110,Healthy,On,upcoming
2026-09-07T16:38:44,on,1500,5,35,721,13.7,79,-62,Healthy,On,upcoming
2026-09-07T16:38:58,on,1500,5,35,711,13.5,79,-219,Healthy,On,upcoming
2026-09-07T16:39:13,on,1500,5,35,737,14.0,79,-44,Healthy,On,upcoming
2026-09-07T16:39:29,on,1500,5,35,801,15.2,79,-87,Healthy,On,upcoming
2026-09-07T16:39:44,on,1500,5,35,533,10.1,79,20,Healthy,On,upcoming
2026-09-07T16:39:58,on,1500,5,35,485,9.2,79,-108,Healthy,On,upcoming
2026-09-07T16:40:14,on,1500,5,35,501,9.5,79,7,Healthy,On,upcoming
2026-09-07T16:40:29,on,1500,5,35,548,10.4,79,12,Healthy,On,upcoming
2026-09-07T16:40:43,on,1500,5,35,496,9.4,79,-19,Healthy,On,upcoming
2026-09-07T16:40:57,on,1500,5,35,528,10.0,79,44,Healthy,On,upcoming
2026-09-07T16:41:14,on,1500,5,35,512,9.7,79,0,Healthy,On,upcoming
2026-09-07T16:41:28,on,1500,5,35,521,9.9,79,71,Healthy,On,upcoming
2026-09-07T16:41:42,on,1500,5,35,512,9.7,79,-96,Healthy,On,upcoming
2026-09-07T16:41:59,on,1500,5,35,533,10.1,79,2,Healthy,On,upcoming
2026-09-07T16:42:13,on,1500,5,35,591,11.2,79,-64,Healthy,On,upcoming
2026-09-07T16:42:27,on,1500,5,35,690,13.1,79,36,Healthy,On,upcoming
2026-09-07T16:42:44,on,1500,5,35,648,12.3,79,6,Healthy,On,upcoming
2026-09-07T16:42:58,on,1500,5,35,506,9.6,79,84,Healthy,On,upcoming
2026-09-07T16:43:12,on,1500,5,35,595,11.3,79,-55,Healthy,On,upcoming
2026-09-07T16:43:29,on,1500,5,35,627,11.9,79,119,Healthy,On,upcoming
2026-09-07T16:43:43,on,1500,5,35,658,12.5,79,63,Healthy,On,upcoming
2026-09-07T16:43:57,on,1500,5,35,616,11.7,79,83,Healthy,On,upcoming
2026-09-07T16:44:14,on,1500,5,35,649,12.3,79,-22,Healthy,On,upcoming
2026-09-07T16:44:28,on,1500,5,35,664,12.6,79,154,Healthy,On,upcoming
2026-09-07T16:44:42,on,1500,5,35,669,12.7,79,103,Healthy,On,upcoming
2026-09-07T16:44:59,on,1500,5,35,648,12.3,79,-146,Healthy,On,upcoming
2026-09-07T16:45:13,on,1500,5,35,695,13.2,79,162,Healthy,On,upcoming
2026-09-07T16:45:28,on,1500,5,35,600,11.4,79,-47,Healthy,On,upcoming
2026-09-07T16:45:44,on,1500,5,35,600,11.4,79,-107,Healthy,On,upcoming
2026-09-07T16:45:58,on,1500,5,35,642,12.2,79,83,Healthy,On,upcoming
2026-09-07T16:46:06,off,1500,5,35,642,12.2,79,83,Healthy,On,upcoming
2026-09-07T16:46:13,on,1500,5,35,548,10.4,79,93,Healthy,On,upcoming
2026-09-07T16:46:29,on,1500,5,35,621,11.8,79,-6,Healthy,On,upcoming
2026-09-07T16:46:43,on,1500,5,35,653,12.4,79,-97,Healthy,On,upcoming
2026-09-07T16:46:58,on,1500,5,35,700,13.3,79,117,Healthy,On,upcoming
2026-09-07T16:47:14,on,1500,5,35,584,11.1,79,-13,Healthy,On,upcoming
2026-09-07T16:47:28,on,1500,5,35,679,12.9,79,136,Healthy,On,upcoming
2026-09-07T16:47:43,on,1500,5,35,528,10.0,79,69,Healthy,On,upcoming
2026-09-07T16:47:59,off,1500,5,35,432,8.2,79,8,Healthy,On,upcoming
2026-09-07T16:48:13,off,1500,5,35,427,8.1,79,0,Healthy,On,upcoming
2026-09-07T16:48:28,off,1500,5,35,422,8.0,79,-8,Healthy,On,upcoming
2026-09-07T16:48:42,off,1500,5,35,427,8.1,79,-4,Healthy,On,upcoming
2026-09-07T16:48:59,off,1500,5,35,417,7.9,79,12,Healthy,On,upcoming
2026-09-07T16:49:13,off,1500,5,35,427,8.1,79,-12,Healthy,On,upcoming
2026-09-07T16:49:29,off,1500,5,35,411,7.8,79,-3,Healthy,On,upcoming
2026-09-07T16:49:44,off,1500,5,35,417,7.9,79,4,Healthy,On,upcoming
2026-09-07T16:50:12,off,1500,5,35,422,8.0,79,0,Healthy,On,upcoming
2026-09-07T16:50:29,off,1500,5,35,448,8.5,79,-2,Healthy,On,upcoming
2026-09-07T16:50:43,off,1500,5,35,432,8.2,79,17,Healthy,On,upcoming
2026-09-07T16:50:57,off,1500,5,35,427,8.1,79,13,Healthy,On,upcoming
2026-09-07T16:51:14,off,1500,5,35,512,9.7,79,-3,Healthy,On,upcoming
2026-09-07T16:51:28,off,1500,5,35,517,9.8,79,2,Healthy,On,upcoming
2026-09-07T16:51:42,off,1500,5,35,1844,35.2,79,2,Healthy,On,upcoming
2026-09-07T16:51:59,off,1500,5,35,1834,35.0,79,-3,Healthy,On,upcoming
2026-09-07T16:52:13,off,1500,5,35,1839,35.1,79,-2,Healthy,On,upcoming
2026-09-07T16:52:27,off,1500,5,35,1834,35.0,79,-1,Healthy,On,upcoming
2026-09-07T16:52:44,off,1500,5,35,1781,34.0,78,16,Healthy,On,upcoming
2026-09-07T16:52:58,off,1500,5,35,1765,33.7,78,2,Healthy,On,upcoming
2026-09-07T16:53:13,off,1500,5,35,453,8.6,78,-69,Healthy,On,upcoming
2026-09-07T16:53:29,off,1500,5,35,469,8.9,78,-1,Healthy,On,upcoming
2026-09-07T16:53:41,on,1500,5,35,469,8.9,78,-1,Healthy,On,upcoming
2026-09-07T16:53:43,on,1500,5,35,479,9.1,78,12,Healthy,On,upcoming
2026-09-07T16:53:47,off,1500,5,35,479,9.1,78,12,Healthy,On,upcoming
2026-09-07T16:53:58,off,1500,5,35,479,9.1,78,0,Healthy,On,upcoming
2026-09-07T16:54:14,off,1500,5,35,479,9.1,78,3,Healthy,On,upcoming
2026-09-07T16:54:28,off,1500,5,35,474,9.0,78,-7,Healthy,On,upcoming
2026-09-07T16:54:43,off,1500,5,35,516,9.8,78,58,Healthy,On,upcoming
2026-09-07T16:54:59,off,1500,5,35,474,9.0,78,-8,Healthy,On,upcoming
2026-09-07T16:55:13,off,1500,5,35,664,12.6,78,-131,Healthy,On,upcoming
2026-09-07T16:55:28,off,1500,5,35,2233,42.7,78,15,Healthy,On,upcoming
2026-09-07T16:55:44,off,1500,5,35,2233,42.7,78,0,Healthy,On,upcoming
2026-09-07T16:55:58,off,1500,5,35,442,8.4,78,140,Healthy,On,upcoming
2026-09-07T16:56:13,off,1500,5,35,479,9.1,78,-1,Healthy,On,upcoming
2026-09-07T16:56:19,on,1500,5,35,479,9.1,78,-1,Healthy,On,upcoming
2026-09-07T16:56:29,on,1500,5,35,479,9.1,78,7,Healthy,On,upcoming
2026-09-07T16:56:43,on,1500,5,35,516,9.8,78,-173,Healthy,On,upcoming
2026-09-07T16:56:58,on,1500,5,35,2201,42.1,78,5,Healthy,On,upcoming
2026-09-07T16:57:12,on,1500,5,35,2201,42.1,78,3,Healthy,On,upcoming
2026-09-07T16:57:28,on,1500,5,35,2191,41.9,78,14,Healthy,On,upcoming
2026-09-07T16:57:43,on,1500,5,35,2065,39.5,78,1493,Healthy,On,upcoming
2026-09-07T16:57:59,on,1500,5,35,479,9.1,78,0,Healthy,On,upcoming
2026-09-07T16:58:14,on,1500,5,35,479,9.1,78,6,Healthy,On,upcoming
2026-09-07T16:58:28,on,1500,5,35,474,9.0,78,8,Healthy,On,upcoming
2026-09-07T16:58:42,on,1500,5,35,542,10.3,78,-1,Healthy,On,upcoming
2026-09-07T16:58:59,on,1500,5,35,527,10.0,78,-5,Healthy,On,upcoming
2026-09-07T16:59:13,on,1500,5,35,527,10.0,78,-12,Healthy,On,upcoming
2026-09-07T16:59:29,on,1500,5,35,1004,19.1,78,302,Healthy,On,upcoming
2026-09-07T16:59:44,on,1500,5,35,769,14.6,78,9,Healthy,On,upcoming
2026-09-07T16:59:58,on,1500,5,35,758,14.4,78,-2,Healthy,On,upcoming
2026-09-07T17:00:12,on,1500,5,35,753,14.3,78,9,Healthy,On,upcoming
2026-09-07T17:00:29,on,1500,5,35,789,15.0,78,2,Healthy,On,upcoming
2026-09-07T17:00:43,on,1500,5,35,774,14.7,78,-5,Healthy,On,upcoming
2026-09-07T17:00:58,on,1500,5,35,758,14.4,78,-5,Healthy,On,upcoming
2026-09-07T17:01:06,off,1500,5,35,758,14.4,78,-5,Healthy,On,upcoming
2026-09-07T17:01:14,off,1500,5,35,769,14.6,78,13,Healthy,On,upcoming
2026-09-07T17:01:28,off,1500,5,35,957,18.2,78,24,Healthy,On,upcoming
2026-09-07T17:01:43,off,1500,5,35,988,18.8,78,2,Healthy,On,upcoming
2026-09-07T17:01:59,off,1500,5,35,983,18.7,78,-7,Healthy,On,upcoming
2026-09-07T17:02:13,off,1500,5,35,988,18.8,78,13,Healthy,On,upcoming
2026-09-07T17:02:28,off,1500,5,35,994,18.9,78,-4,Healthy,On,upcoming
2026-09-07T17:02:42,off,1500,5,35,994,18.9,78,6,Healthy,On,upcoming
2026-09-07T17:02:57,off,0,5,35,994,18.9,78,6,Healthy,On,upcoming
2026-09-07T17:02:59,off,0,0,35,988,18.8,78,-1,Healthy,On,upcoming
2026-09-07T17:03:13,off,0,0,35,994,18.9,78,6,Healthy,On,upcoming
2026-09-07T17:03:27,off,0,0,35,988,18.8,78,9,Healthy,On,upcoming
2026-09-07T17:03:44,off,0,0,35,999,19.0,78,12,Healthy,On,upcoming
2026-09-07T17:03:58,off,0,0,35,978,18.6,78,-5,Healthy,On,upcoming
2026-09-07T17:04:12,off,0,0,35,983,18.7,78,-10,Healthy,On,upcoming
2026-09-07T17:04:29,off,0,0,35,983,18.7,78,12,Healthy,On,upcoming
